   642,000ms ID:00010172 Pr:00000000             0 +         2,910 8E7E18331EE538583C8DA236F8BF33C9          ReleaseRequest(): Success "mods\core.stormmod\base.stormdata" "heroes_regions.xml"
 3,551,390ms ID:00010198 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 3,551,390ms ID:00010199 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 3,551,390ms ID:0001019A Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 3,551,390ms ID:0001019A Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 3,551,390ms ID:0001019A Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 3,551,390ms ID:0001019B Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 3,551,390ms ID:0001019C Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 3,551,390ms ID:0001019B Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 3,551,390ms ID:0001019C Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 3,551,390ms ID:0001019B Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 3,551,390ms ID:0001019C Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 3,551,390ms ID:0001019D Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 3,551,390ms ID:0001019D Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 3,551,390ms ID:0001019E Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 3,551,390ms ID:0001019D Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 3,551,390ms ID:0001019E Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 3,551,390ms ID:0001019E Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 3,552,500ms ID:0001019F Pr:01040000             0 +     3,168,803 7D97AE9DE9738D8412BE23A9C26E3536          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_GlueScreen_01.ogg"
 3,552,500ms ID:000101A0 Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 3,552,500ms ID:0001019F Pr:01040000             0 +     3,168,803 7D97AE9DE9738D8412BE23A9C26E3536          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_GlueScreen_01.ogg"
 3,552,500ms ID:000101A0 Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 3,552,500ms ID:0001019F Pr:01040000             0 +     3,168,803 7D97AE9DE9738D8412BE23A9C26E3536          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_GlueScreen_01.ogg"
 3,552,500ms ID:000101A1 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 3,552,500ms ID:000101A0 Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 3,552,500ms ID:000101A1 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 3,552,500ms ID:000101A1 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 3,552,500ms ID:000101A2 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,552,500ms ID:000101A3 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 3,552,500ms ID:000101A4 Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,552,500ms ID:000101A5 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 3,552,500ms ID:000101A2 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,552,500ms ID:000101A3 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 3,552,500ms ID:000101A4 Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,552,500ms ID:000101A5 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 3,552,500ms ID:000101A2 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,552,500ms ID:000101A3 Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 3,552,500ms ID:000101A4 Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 3,552,500ms ID:000101A5 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 3,622,890ms ID:000101A6 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 3,622,890ms ID:000101A6 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 3,622,890ms ID:000101A6 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 3,624,218ms ID:000101A7 Pr:01040000             0 +     2,454,948 ED2FECF0BA5B25E6BBDDF5B3B507E664          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_RavenCourt01_Loop01.ogg"
 3,624,218ms ID:000101A7 Pr:01040000             0 +     2,454,948 ED2FECF0BA5B25E6BBDDF5B3B507E664          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_RavenCourt01_Loop01.ogg"
 3,624,218ms ID:000101A7 Pr:01040000             0 +     2,454,948 ED2FECF0BA5B25E6BBDDF5B3B507E664          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_RavenCourt01_Loop01.ogg"
 3,711,156ms ID:000101A8 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 3,711,156ms ID:000101A9 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,711,156ms ID:000101A8 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 3,711,156ms ID:000101A9 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,711,156ms ID:000101A8 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 3,711,156ms ID:000101AA Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 3,711,156ms ID:000101AA Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 3,711,156ms ID:000101A9 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,711,156ms ID:000101AA Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 3,711,156ms ID:000101AB Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,711,156ms ID:000101AB Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,711,156ms ID:000101AB Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,942,640ms ID:000101AC Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 3,942,640ms ID:000101AD Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,942,640ms ID:000101AE Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 3,942,640ms ID:000101AF Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,942,640ms ID:000101AC Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 3,942,640ms ID:000101AD Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,942,640ms ID:000101AE Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 3,942,640ms ID:000101AF Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 3,942,640ms ID:000101AC Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 3,942,640ms ID:000101AD Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 3,942,640ms ID:000101AE Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 3,942,640ms ID:000101AF Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,015,406ms ID:000101B0 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,015,406ms ID:000101B1 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,015,406ms ID:000101B0 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,015,406ms ID:000101B1 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,015,406ms ID:000101B0 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,015,406ms ID:000101B2 Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 4,015,406ms ID:000101B2 Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 4,015,406ms ID:000101B1 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,015,406ms ID:000101B3 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,015,406ms ID:000101B3 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,015,406ms ID:000101B2 Pr:01040000             0 +     1,076,820 01A6BB9254980A2A8421A4E1FFF41C6F          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_LuxCrypt_4.ogg"
 4,015,406ms ID:000101B3 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,048,656ms ID:000101B4 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,048,656ms ID:000101B5 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,048,656ms ID:000101B4 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,048,656ms ID:000101B5 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,048,656ms ID:000101B4 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,048,656ms ID:000101B6 Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,048,656ms ID:000101B7 Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,048,656ms ID:000101B6 Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,048,656ms ID:000101B7 Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,048,656ms ID:000101B5 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,048,656ms ID:000101B6 Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,048,656ms ID:000101B7 Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,206,671ms ID:000101B8 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,206,671ms ID:000101B9 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,206,671ms ID:000101BA Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,206,671ms ID:000101BB Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,206,671ms ID:000101B8 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,206,671ms ID:000101B9 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,206,671ms ID:000101BA Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,206,671ms ID:000101BB Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,206,671ms ID:000101B8 Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,206,671ms ID:000101B9 Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,206,671ms ID:000101BA Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,206,671ms ID:000101BB Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,431,375ms ID:000101BC Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,431,375ms ID:000101BD Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,431,375ms ID:000101BE Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,431,375ms ID:000101BF Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,431,375ms ID:000101BC Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,431,375ms ID:000101BD Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,431,375ms ID:000101BE Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
 4,431,375ms ID:000101BF Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,431,375ms ID:000101BC Pr:01040000             0 +     1,616,945 44DF5DF3B269802106C6062638B8DF81          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_CursedHollow_03.ogg"
 4,431,375ms ID:000101BD Pr:01040000             0 +     1,288,271 D971CA217435CCEE7057A64CAAAA53FA          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_RavenCourt01.ogg"
 4,431,375ms ID:000101BE Pr:01040000             0 +     2,110,535 FB014C78923D2EAC0984E8F814E2271F          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day2.ogg"
